"index"	"accession"	"genome"	"assay_target_class"	"assay_target"	"biosample_type_class"	"biosample_type"	"treatment"	"mutation"	"strain"	"test_auc_roc"	"test_auc_prc"
956	"SRX1706956"	"mm9"	"TFs and others"	"Isl1"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.9286	0.0709
957	"SRX1706957"	"mm9"	"TFs and others"	"Isl1"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.927	0.1025
958	"SRX1706960"	"mm9"	"TFs and others"	"Neurog2"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.9608	0.0583
959	"SRX1706964"	"mm9"	"TFs and others"	"Isl1"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.9266	0.0611
960	"SRX1706967"	"mm9"	"TFs and others"	"Lhx3"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.9152	0.0635
961	"SRX1706968"	"mm9"	"TFs and others"	"Lhx3"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.9183	0.0519
962	"SRX1706969"	"mm9"	"TFs and others"	"Ebf2"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.8733	0.1335
963	"SRX1706970"	"mm9"	"TFs and others"	"Ebf2"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.8803	0.1334
964	"SRX1706972"	"mm9"	"TFs and others"	"Isl1"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.9113	0.0573
965	"SRX1706973"	"mm9"	"TFs and others"	"Isl1"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.9129	0.0285
966	"SRX1706977"	"mm9"	"TFs and others"	"Onecut2"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.8196	0.0592
967	"SRX1706978"	"mm9"	"TFs and others"	"Onecut2"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.8391	0.0623
968	"SRX1716120"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.9845	0.71
969	"SRX1716124"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.9963	0.8551
970	"SRX1716128"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.9819	0.5804
971	"SRX1716129"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.9961	0.645
972	"SRX1716131"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.9914	0.62
973	"SRX1716133"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.9912	0.6413
974	"SRX1716144"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.99	0.7065
975	"SRX1716145"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.9925	0.7888
976	"SRX1716146"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.9939	0.8014
977	"SRX1716148"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.9973	0.8607
978	"SRX1716149"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.9978	0.8865
979	"SRX1716151"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.9988	0.8943
980	"SRX1716154"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.9882	0.5838
981	"SRX1716161"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.992	0.6253
982	"SRX172569"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(129S4/SvJae x C57BL/6J)F1"	0.9906	0.8004
983	"SRX172849"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Liver"	"Liver"	"None"	"Trim24 -/-"	"129/Sv"	0.9814	0.5684
984	"SRX172850"	"mm9"	"Histone"	"H3K4me3"	"Liver"	"Liver"	"None"	"None"	"129/Sv"	0.99	0.7815
985	"SRX172851"	"mm9"	"Histone"	"H3K4me3"	"Liver"	"Liver"	"None"	"Trim24 -/-"	"129/Sv"	0.9863	0.7367
986	"SRX1735748"	"mm9"	"Histone"	"H3K27ac"	"Liver"	"Liver"	"None"	"Abcb4 -/-"	"129P2/OlaHsd"	0.9642	0.5224
987	"SRX1735752"	"mm9"	"Histone"	"H3K27ac"	"Liver"	"Hepatocarcinoma"	"None"	"Abcb4 -/-"	"129P2/OlaHsd"	0.966	0.4749
988	"SRX1735753"	"mm9"	"Histone"	"H3K27ac"	"Liver"	"Hepatocarcinoma"	"None"	"Abcb4 -/-"	"129P2/OlaHsd"	0.9586	0.4764
989	"SRX1738884"	"mm9"	"TFs and others"	"Zfp281"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129S1/SvImJ "	0.9835	0.1704
990	"SRX1739693"	"mm9"	"Histone"	"H3K4me3"	"Gonad"	"Testis"	"None"	"None"	"CD-1"	0.9139	0.5566
991	"SRX1739694"	"mm9"	"Histone"	"H3K4me3"	"Gonad"	"Testis"	"None"	"None"	"CD-1"	0.8968	0.5407
992	"SRX1739695"	"mm9"	"Histone"	"H3K4me3"	"Gonad"	"Testis"	"Atrazine"	"None"	"CD-1"	0.8999	0.5329999999999999
993	"SRX1739696"	"mm9"	"Histone"	"H3K4me3"	"Gonad"	"Testis"	"Atrazine"	"None"	"CD-1"	0.9046	0.545
994	"SRX1739698"	"mm9"	"Histone"	"H3K4me3"	"Gonad"	"Testis"	"None"	"None"	"CD-1"	0.9575	0.6659
995	"SRX1739699"	"mm9"	"Histone"	"H3K4me3"	"Gonad"	"Testis"	"None"	"None"	"CD-1"	0.9420000000000001	0.6302
996	"SRX1739701"	"mm9"	"Histone"	"H3K4me3"	"Gonad"	"Testis"	"Atrazine"	"None"	"CD-1"	0.9561	0.6611
997	"SRX1743109"	"mm9"	"Histone"	"H3K27ac"	"Neural"	"Amygdala"	"None"	"None"	"C57BL/6J"	0.9938	0.6896
998	"SRX1743241"	"mm9"	"TFs and others"	"Kdm4a"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"Kdm4a fl/fl, ER<T2> cre/cre"	"C57BL/6"	0.9974	0.4563
999	"SRX1743259"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"Kdm4a fl/fl, Kdm4c fl/fl, ER<T2> cre/cre"	"C57BL/6"	0.9935	0.8055
1000	"SRX1743260"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"Tamoxifen"	"Kdm4a fl/fl, Kdm4c fl/fl, ER<T2> cre/cre"	"C57BL/6"	0.9931	0.8115
1001	"SRX1743261"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"Kdm4a fl/fl, Kdm4b fl/fl, Kdm4c fl/fl, ER<T2> cre/cre"	"C57BL/6"	0.9928	0.8048
1002	"SRX1743262"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"Tamoxifen"	"Kdm4a fl/fl, Kdm4b fl/fl, Kdm4c fl/fl, ER<T2> cre/cre"	"C57BL/6"	0.9921	0.7983
1003	"SRX1745538"	"mm9"	"TFs and others"	"Rai1"	"Neural"	"Cortex"	"None"	"None"	"129/Sv x C57BL/6J"	0.9623	0.3647
1004	"SRX1745539"	"mm9"	"TFs and others"	"Rai1"	"Neural"	"Cortex"	"None"	"None"	"129/Sv x C57BL/6J"	0.9521	0.3439
1005	"SRX1755829"	"mm9"	"TFs and others"	"Kdm4c"	"Blood"	"Leukemia"	"None"	"ER<T2> cre/cre, Kdm4a fl/fl, Kdm4b fl/fl, Kdm4c fl/fl"	"C57BL/6"	0.9976	0.7644
1006	"SRX1755830"	"mm9"	"TFs and others"	"Kdm4c"	"Blood"	"Leukemia"	"None"	"ER<T2> cre/cre, Kdm4a fl/fl, Kdm4b fl/fl, Kdm4c fl/fl"	"C57BL/6"	0.9955	0.2595
1007	"SRX1757407"	"mm9"	"Histone"	"H3K27ac"	"Embryo"	"Embryonic limb"	"None"	"Hoxa13 -/-, Hoxd13 -/-"	"(CD-1 x C57BL/6)F1"	0.9918	0.7175
1008	"SRX1757409"	"mm9"	"Histone"	"H3K27ac"	"Embryo"	"Embryonic limb"	"None"	"None"	"(CD-1 x C57BL/6)F1"	0.9783	0.6141
1009	"SRX1757410"	"mm9"	"Histone"	"H3K27me3"	"Embryo"	"Embryonic limb"	"None"	"None"	"(CD-1 x C57BL/6)F1"	0.9767	0.4739
1010	"SRX1757411"	"mm9"	"TFs and others"	"Hoxa13"	"Embryo"	"Embryonic limb"	"None"	"None"	"(CD-1 x C57BL/6)F1"	0.8767	0.0399
1011	"SRX1757412"	"mm9"	"TFs and others"	"Hoxd13"	"Embryo"	"Embryonic limb"	"None"	"None"	"(CD-1 x C57BL/6)F1"	0.8809999999999999	0.034
1012	"SRX1775636"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"Dnmt3b -/-"	"129P2/Ola"	0.9940000000000001	0.7875
1013	"SRX1775637"	"mm9"	"Histone"	"H3ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129P2/Ola"	0.9953	0.5896
1014	"SRX1775638"	"mm9"	"Histone"	"H3ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"Dnmt3b -/-"	"129P2/Ola"	0.9939	0.5835
1015	"SRX1781894"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (46C cell line)"	"None"	"None"	"129P2/Ola"	0.9933	0.7140000000000001
1016	"SRX1800708"	"mm9"	"Histone"	"H3K4me3"	"Embryo"	"Embryonic brains"	"None"	"Fmr1 -/-"	"FVB"	0.9953	0.759
1017	"SRX1800722"	"mm9"	"Histone"	"H3K4me3"	"Neural"	"Cerebellum"	"None"	"Fmr1 -/-"	"C57BL/6"	0.9964	0.451
1018	"SRX180158"	"mm9"	"TFs and others"	"Fli1"	"Blood"	"Hematopoietic stem cells"	"None"	"None"	"129P2/OlaHsd"	0.9881	0.1661
1019	"SRX180161"	"mm9"	"TFs and others"	"Tal1"	"Blood"	"Hematopoietic stem cells"	"None"	"None"	"129P2/OlaHsd"	0.9626	0.062
1020	"SRX180162"	"mm9"	"Histone"	"H3K9ac"	"Blood"	"Hematopoietic stem cells"	"None"	"None"	"129P2/OlaHsd"	0.9973	0.6087
1021	"SRX180163"	"mm9"	"Histone"	"H3K9ac"	"Blood"	"Hematopoietic stem cells"	"None"	"None"	"129P2/OlaHsd"	0.9959	0.7331
1022	"SRX180164"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Blood"	"Hematopoietic stem cells"	"None"	"None"	"129P2/OlaHsd"	0.99	0.6199
1023	"SRX180899"	"mm9"	"TFs and others"	"Srf"	"Embryonic fibroblast"	"C3H/10T1/2 clone 8"	"None"	"None"	"C3H"	0.9937	0.7396
1024	"SRX181742"	"mm9"	"TFs and others"	"Gata1"	"Blood"	"G1E"	"None"	"None"	"129S8/SvEv-Gpi1<c>"	0.9141	0.0167
1025	"SRX181743"	"mm9"	"TFs and others"	"Gata1"	"Blood"	"G1E"	"None"	"None"	"129S8/SvEv-Gpi1<c>"	0.9042	0.013999999999999999
1026	"SRX181744"	"mm9"	"TFs and others"	"Gata1"	"Blood"	"G1E"	"None"	"None"	"129S8/SvEv-Gpi1<c>"	0.92	0.0102
1027	"SRX181745"	"mm9"	"TFs and others"	"Gata1"	"Blood"	"G1E"	"None"	"None"	"129S8/SvEv-Gpi1<c>"	0.9064	0.0062
1028	"SRX181747"	"mm9"	"TFs and others"	"Tal1"	"Embryo"	"Embryonic megakaryocytes"	"None"	"None"	"CD-1"	0.935	0.0144
1029	"SRX181861"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Granulocytes"	"None"	"None"	"C57BL/6J x 129/Sv"	0.9916	0.6501
1030	"SRX181862"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Granulocytes"	"None"	"Kdm1a fl/fl, Tg(Mx1-cre)"	"C57BL/6J x 129/Sv"	0.9859	0.5841
1031	"SRX1821199"	"mm9"	"Chromatin"	"DNase-seq"	"Breast"	"Mammary glands"	"None"	"Socs2 -/-"	"C57BL/6"	0.9914	0.6245
1032	"SRX1829027"	"mm9"	"TFs and others"	"Aebp2"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129"	0.9916	0.3043
1033	"SRX1829030"	"mm9"	"Histone"	"H3K27me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129"	0.9969	0.5614
1034	"SRX1829031"	"mm9"	"TFs and others"	"Suz12"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129"	0.9988	0.7717
1035	"SRX1829032"	"mm9"	"TFs and others"	"Aebp2"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129"	0.9981	0.775
1036	"SRX1829034"	"mm9"	"Histone"	"H3K27me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"Aebp2 -/-"	"129"	0.9963	0.5206
1037	"SRX1829035"	"mm9"	"TFs and others"	"Suz12"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"Aebp2 -/-"	"129"	0.9986	0.7829
1038	"SRX183332"	"mm9"	"Histone"	"H3ac"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6J x 129/Sv"	0.9871	0.6015
1039	"SRX183337"	"mm9"	"Histone"	"H3ac"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6J x 129/Sv"	0.991	0.6489
1040	"SRX1838181"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"G1E-ER4"	"Estradiol (13 hours)"	"None"	"129S8/SvEv-Gpi1<c>"	0.9404	0.336
1041	"SRX1838182"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"G1E-ER4"	"Estradiol (13 hours)"	"None"	"129S8/SvEv-Gpi1<c>"	0.9433	0.3017
1042	"SRX1838183"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"G1E-ER4"	"Estradiol (13 hours)"	"None"	"129S8/SvEv-Gpi1<c>"	0.9465	0.3782
1043	"SRX1838936"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Blood"	"G1E-ER4"	"Estradiol (13 hours)"	"None"	"129S8/SvEv-Gpi1<c>"	0.9838	0.3053
1044	"SRX1838939"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Blood"	"G1E-ER4"	"Estradiol (13 hours)"	"None"	"129S8/SvEv-Gpi1<c>"	0.998	0.2934
1045	"SRX183894"	"mm9"	"TFs and others"	"Gata2"	"Uterus"	"Uterus"	"Progesterone"	"None"	"C57BL/6"	0.9213	0.2144
1046	"SRX1838940"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Blood"	"G1E-ER4"	"Estradiol (13 hours)"	"None"	"129S8/SvEv-Gpi1<c>"	0.9945	0.3669
1047	"SRX1838956"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Blood"	"G1E-ER4"	"Estradiol (13 hours)"	"None"	"129S8/SvEv-Gpi1<c>"	0.9768	0.243
1048	"SRX1838957"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Blood"	"G1E-ER4"	"None"	"None"	"129S8/SvEv-Gpi1<c>"	0.9669	0.2375
1049	"SRX1838959"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Blood"	"G1E-ER4"	"None"	"None"	"129S8/SvEv-Gpi1<c>"	0.9836	0.4054
1050	"SRX1838961"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Blood"	"G1E-ER4"	"None"	"None"	"129S8/SvEv-Gpi1<c>"	0.9636	0.2157
1051	"SRX1839201"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6J"	0.9388	0.475
1052	"SRX1839202"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6J"	0.9403	0.4704
1053	"SRX1839203"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6J"	0.9443	0.41
1054	"SRX1839204"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6J"	0.9466	0.4236
1055	"SRX1839205"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"Fos fl/fl, Fosb fl/fl, Junb fl/fl"	"C57BL/6J"	0.9479	0.4601
1056	"SRX1839206"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"Fos fl/fl, Fosb fl/fl, Junb fl/fl"	"C57BL/6J"	0.9468	0.4945
1057	"SRX1839207"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"Fos fl/fl, Fosb fl/fl, Junb fl/fl"	"C57BL/6J"	0.9624	0.4938
1058	"SRX1839208"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"Fos fl/fl, Fosb fl/fl, Junb fl/fl"	"C57BL/6J"	0.9585	0.5147
1059	"SRX1839209"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"Fos fl/fl, Fosb fl/fl, Junb fl/fl"	"C57BL/6J"	0.9471	0.4664
1060	"SRX1839210"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"Fos fl/fl, Fosb fl/fl, Junb fl/fl"	"C57BL/6J"	0.9474	0.4949
1061	"SRX1839211"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"Fos fl/fl, Fosb fl/fl, Junb fl/fl"	"C57BL/6J"	0.9626	0.4987
1062	"SRX1839212"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"Fos fl/fl, Fosb fl/fl, Junb fl/fl"	"C57BL/6J"	0.9627	0.5273
1063	"SRX1839215"	"mm9"	"TFs and others"	"Fos"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6J"	0.987	0.40299999999999997
1064	"SRX1839221"	"mm9"	"TFs and others"	"Fosl2"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6J"	0.9879	0.3471
1065	"SRX1839222"	"mm9"	"TFs and others"	"Fosl2"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6J"	0.9892	0.2845
1066	"SRX1839223"	"mm9"	"TFs and others"	"Fosl2"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6J"	0.9924	0.2939
1067	"SRX1839224"	"mm9"	"TFs and others"	"Fosl2"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6J"	0.9885	0.3776
1068	"SRX1839226"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6J"	0.9794	0.5271
1069	"SRX1839227"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6J"	0.9639	0.4612
1070	"SRX1839228"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6J"	0.9698	0.4784
1071	"SRX1839239"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6J"	0.9739	0.4723
1072	"SRX1839248"	"mm9"	"TFs and others"	"Jund"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6J"	0.9775	0.2178
1073	"SRX1839250"	"mm9"	"TFs and others"	"Jund"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6J"	0.9794	0.2415
1074	"SRX1839263"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"SPRET/EiJ"	0.9440000000000001	0.4657
1075	"SRX1839264"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"SPRET/EiJ"	0.9548	0.4952
1076	"SRX1839266"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"SPRET/EiJ"	0.9394	0.4659
1077	"SRX1839267"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"SPRET/EiJ"	0.9687	0.5312
1078	"SRX1839270"	"mm9"	"TFs and others"	"Fos"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"SPRET/EiJ"	0.9639	0.3003
1079	"SRX183934"	"mm9"	"TFs and others"	"Ep300"	"Blood"	"Th1 cells"	"None"	"None"	"C57BL/6J"	0.9564	0.2748
1080	"SRX183935"	"mm9"	"TFs and others"	"Ep300"	"Blood"	"Th1 cells"	"None"	"Stat4 -/-"	"C57BL/6J"	0.9605	0.3394
1081	"SRX183936"	"mm9"	"TFs and others"	"Ep300"	"Blood"	"Th1 cells"	"None"	"Tbx21 -/-"	"C57BL/6J"	0.9594	0.3321
1082	"SRX183937"	"mm9"	"TFs and others"	"Ep300"	"Blood"	"Th1 cells"	"None"	"Stat1 -/-"	"C57BL/6J"	0.9572	0.2843
1083	"SRX183942"	"mm9"	"TFs and others"	"Ep300"	"Blood"	"Th1 cells"	"None"	"None"	"C57BL/6J"	0.9552	0.1663
1084	"SRX183946"	"mm9"	"TFs and others"	"Ep300"	"Blood"	"Th1 cells"	"None"	"None"	"C57BL/6J"	0.9486	0.2914
1085	"SRX183947"	"mm9"	"TFs and others"	"Ep300"	"Blood"	"Th1 cells"	"None"	"Stat4 -/-"	"C57BL/6J"	0.9504	0.3199
1086	"SRX183948"	"mm9"	"TFs and others"	"Ep300"	"Blood"	"Th1 cells"	"None"	"None"	"C57BL/6J"	0.9523	0.2898
1087	"SRX183949"	"mm9"	"TFs and others"	"Ep300"	"Blood"	"Th1 cells"	"None"	"Stat4 -/-"	"C57BL/6J"	0.9485	0.2722
1088	"SRX183952"	"mm9"	"TFs and others"	"Ep300"	"Blood"	"Th1 cells"	"None"	"None"	"C57BL/6J"	0.9407	0.2935
1089	"SRX183953"	"mm9"	"TFs and others"	"Ep300"	"Blood"	"Th1 cells"	"None"	"Stat6 -/-"	"C57BL/6J"	0.9437	0.3118
1090	"SRX183955"	"mm9"	"TFs and others"	"Ep300"	"Blood"	"Th1 cells"	"None"	"None"	"C57BL/6J"	0.9628	0.2894
1091	"SRX183956"	"mm9"	"TFs and others"	"Ep300"	"Blood"	"Th1 cells"	"None"	"Stat4 -/-"	"C57BL/6J"	0.9622	0.3821
1092	"SRX183957"	"mm9"	"TFs and others"	"Ep300"	"Blood"	"Th1 cells"	"None"	"Tbx21 -/-"	"C57BL/6J"	0.9564	0.3554
1093	"SRX183958"	"mm9"	"TFs and others"	"Ep300"	"Blood"	"Th1 cells"	"None"	"Stat1 -/-"	"C57BL/6J"	0.955	0.2859
1094	"SRX183959"	"mm9"	"TFs and others"	"Ep300"	"Blood"	"Th1 cells"	"None"	"None"	"C57BL/6J"	0.9690000000000001	0.3686
1095	"SRX185792"	"mm9"	"Histone"	"H3K27ac"	"Adipocyte"	"Brown adipocytes"	"None"	"None"	"C57BL/6"	0.9647	0.3409
1096	"SRX185795"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9772	0.4247
1097	"SRX185796"	"mm9"	"Histone"	"H3K4me3"	"Adipocyte"	"Brown adipocytes"	"None"	"None"	"C57BL/6"	0.9937	0.7871
1098	"SRX185800"	"mm9"	"Histone"	"H3K4me3"	"Gonad"	"Testis"	"None"	"None"	"C57BL/6"	0.9579	0.6229
1099	"SRX185804"	"mm9"	"Histone"	"H3K4me3"	"Digestive tract"	"Small intestine"	"None"	"None"	"C57BL/6"	0.9945	0.8145
1100	"SRX185805"	"mm9"	"Histone"	"H3K27ac"	"Digestive tract"	"Intestines"	"None"	"None"	"C57BL/6"	0.9733	0.4068
1101	"SRX185813"	"mm9"	"Histone"	"H3K27ac"	"Kidney"	"Kidney"	"None"	"None"	"C57BL/6"	0.9715	0.413
1102	"SRX185814"	"mm9"	"Histone"	"H3K27ac"	"Cardiovascular"	"Heart"	"None"	"None"	"C57BL/6"	0.9684	0.4039
1103	"SRX185818"	"mm9"	"Histone"	"H3K27ac"	"Neural"	"Cerebellum"	"None"	"None"	"C57BL/6"	0.9744	0.4118
1104	"SRX185834"	"mm9"	"Histone"	"H3K27ac"	"Embryo"	"Embryonic liver"	"None"	"None"	"C57BL/6"	0.9562	0.4159
1105	"SRX185835"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"CH12"	"None"	"None"	"(B10.A-H2<a> x B10.129P-Il4i1<H46-b> Emp3<b> Oca2<p> Selenos<H47-b>/(21M)Sn)F2"	0.9883	0.6822
1106	"SRX185836"	"mm9"	"Histone"	"H3K9ac"	"Blood"	"CH12"	"None"	"None"	"(B10.A-H2<a> x B10.129P-Il4i1<H46-b> Emp3<b> Oca2<p> Selenos<H47-b>/(21M)Sn)F2"	0.9832	0.6353
1107	"SRX185837"	"mm9"	"Histone"	"H3K4me2"	"Blood"	"CH12"	"None"	"None"	"(B10.A-H2<a> x B10.129P-Il4i1<H46-b> Emp3<b> Oca2<p> Selenos<H47-b>/(21M)Sn)F2"	0.97	0.2663
1108	"SRX185838"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"CH12"	"None"	"None"	"(B10.A-H2<a> x B10.129P-Il4i1<H46-b> Emp3<b> Oca2<p> Selenos<H47-b>/(21M)Sn)F2"	0.9648	0.3237
1109	"SRX185844"	"mm9"	"Histone"	"H3K9ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129P2/Ola"	0.9961	0.8329
1110	"SRX185845"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129P2/Ola"	0.996	0.8574
